comunidad,num.entrevista,nombre.recurso,tipo.recurso,uso,venta,tipo.mercado.venta,distancia,distancia.km,tiempo,tiempo.min,tipo.de.carretera,tipologia.mercado,compra,manejo,tipo.terreno,tamano.huerto.m2,tamano.parcela.m2,tamano.invernadero.m2,tamano.cultivo.m2,tamano.cultivo,terreno.propiedad,percepcion.clima,riego,manejo.producto,manejo.herramienta,manejo.estructura,escolaridad.grado,escolaridad,origen,lenguas,lengua,nahuatl,espanol,migracion,campesino,productor,pastor,comercio,tendero,jornalero,otro
Aticpac,1,iztananacatl,hongo,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tonagas,hongo,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,ezpalmatzi,hongo,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,chilnanacatl,hongo,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,oconanacatl,hongo,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,naranja,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,mandarina,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,limon,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,durazno,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,cana,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,gardenia,planta,ornamental,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,dalia,planta,ornamental,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,cascabel,planta,ornamental,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,platano,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,maracuya,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,epazote,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tomillo,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,jengibre,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,jengibre,planta,medicinal,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,zacate_limon,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,cafe,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,maiz,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,domesticado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,calabaza,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,maiz,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,domesticado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,calabaza,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,frijol,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,plaguicida,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,frijol,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,abono_plantas,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,papalokilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tekilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,tomakilitl,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,parcela,0,-,0,-,-,propio,caliente_humedo,temporal,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
Aticpac,1,xoyatl,planta,construccion,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,silvestre,monte,NA,NA,NA,NA,NA,comunal,NA,NA,NA,manual,NA,6,primaria,municipal,2,bilingue,1,1,nacional,1,0,0,0,1,1,0
