comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,1,iztananacatl,parcela,0,temporal,NA,manual,NA
Aticpac,1,tonagas,parcela,0,temporal,NA,manual,NA
Aticpac,1,ezpalmatzi,parcela,0,temporal,NA,manual,NA
Aticpac,1,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,1,oconanacatl,monte,NA,NA,NA,manual,NA
Aticpac,1,naranja,huerto,0,temporal,NA,manual,NA
Aticpac,1,mandarina,huerto,0,temporal,NA,manual,NA
Aticpac,1,limon,huerto,0,temporal,NA,manual,NA
Aticpac,1,durazno,huerto,0,temporal,NA,manual,NA
Aticpac,1,cana,huerto,0,temporal,NA,manual,NA
Aticpac,1,gardenia,huerto,0,temporal,NA,manual,NA
Aticpac,1,dalia,huerto,0,temporal,NA,manual,NA
Aticpac,1,cascabel,huerto,0,temporal,NA,manual,NA
Aticpac,1,platano,huerto,0,temporal,NA,manual,NA
Aticpac,1,maracuya,huerto,0,temporal,NA,manual,NA
Aticpac,1,epazote,huerto,0,temporal,NA,manual,NA
Aticpac,1,tomillo,huerto,0,temporal,NA,manual,NA
Aticpac,1,jengibre,huerto,0,temporal,NA,manual,NA
Aticpac,1,jengibre,huerto,0,temporal,NA,manual,NA
Aticpac,1,zacate_limon,huerto,0,temporal,NA,manual,NA
Aticpac,1,cafe,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,maiz,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,calabaza,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,maiz,parcela,0,temporal,plaguicida,manual,NA
Aticpac,1,calabaza,parcela,0,temporal,plaguicida,manual,NA
Aticpac,1,frijol,parcela,0,temporal,plaguicida,manual,NA
Aticpac,1,frijol,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,papalokilitl,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,tekilitl,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,tomakilitl,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,xoyatl,monte,NA,NA,NA,manual,NA
Aticpac,1,tepexilotl,parcela,0,temporal,abono_plantas,manual,NA
Aticpac,1,metlapiltepexilotl,monte,NA,NA,NA,manual,NA
Aticpac,1,pino,monte,NA,NA,NA,manual,NA
Aticpac,1,caoba,monte,NA,NA,NA,manual,NA
Aticpac,1,nuez,monte,NA,NA,NA,manual,NA
Aticpac,1,encino,monte,NA,NA,NA,manual,NA
Aticpac,1,guayaba,monte,NA,NA,NA,manual,NA
Aticpac,1,guayaba,monte,NA,NA,NA,manual,NA
