ï..comunidad,num.entrevista,venta,tipo.mercado.venta,no.productos,distancia,distancia.km,tiempo,tiempo.min,tipo de carretera
Aticpac,2,Coyomeapan,municipal,20,corta,19.8,medio,74,terraceria
Aticpac,2,Zoquitlan,micro-regional,20,corta,16.3,medio,60,mixta
Aticpac,3,Zoquitlan,micro-regional,2,corta,16.3,medio,60,mixta
Aticpac,4,interna,comunitario,12,NA,0,NA,0,NA
Aticpac,5,interna,comunitario,1,NA,0,NA,0,NA
Aticpac,5,Zoquitlan,micro-regional,12,corta,16.3,medio,60,mixta
Aticpac,6,interna,comunitario,5,NA,0,NA,0,NA
Aticpac,7,interna,comunitario,1,NA,0,NA,0,NA
Aticpac,8,Coyomeapan,municipal,11,corta,19.8,medio,74,terraceria
Aticpac,9,Coyomeapan,municipal,5,corta,19.8,medio,74,terraceria
Aticpac,10,Coyomeapan,municipal,7,corta,19.8,medio,74,terraceria
Aticpac,10,interna,comunitario,5,NA,0,NA,0,NA
Aticpac,10,Tehuacan,regional,2,larga,85.3,mucho,160,mixta
Aticpac,10,Zoquitlan,micro-regional,4,corta,16.3,medio,60,mixta
Aticpac,11,Coyomeapan,municipal,5,corta,19.8,medio,74,terraceria
Aticpac,12,Coyomeapan,municipal,6,corta,19.8,medio,74,terraceria
Aticpac,13,Coyomeapan,municipal,11,corta,19.8,medio,74,terraceria
Aticpac,13,interna,comunitario,9,NA,0,NA,0,NA
Coyomeapan,3,Coyomeapan,municipal,2,corta,0,poco,0,mixta
Coyomeapan,4,acopiador,nacional,2,larga,NA,mucho,NA,mixta
Coyomeapan,5,acopiador,nacional,4,larga,NA,mucho,NA,mixta
Coyomeapan,6,acopiador,nacional,4,larga,NA,mucho,NA,mixta
Coyomeapan,7,Tehuacan,regional,1,larga,72.7,mucho,112,mixta
Coyomeapan,8,acopiador,nacional,3,larga,NA,mucho,NA,mixta
Coyomeapan,8,Tehuacan,regional,3,larga,72.7,mucho,112,mixta
Coyomeapan,9,acopiador,nacional,3,larga,NA,mucho,NA,mixta
Coyomeapan,11,Coxcatlan,local,3,media,34.6,medio,60,mixta
Coyomeapan,12,Tehuacan,regional,5,larga,72.7,mucho,112,mixta
Coyomeapan,13,acopiador,nacional,1,larga,NA,mucho,NA,mixta
Coyomeapan,13,Oaxaca,regional,3,larga,246,medio,66,mixta
Coyomeapan,14,acopiador,nacional,10,larga,NA,mucho,NA,mixta
Coyomeapan,14,Tehuacan,regional,1,larga,72.7,mucho,112,mixta
Coyomeapan,15,acopiador,nacional,7,larga,NA,mucho,NA,mixta
Coyomeapan,16,Oaxaca,regional,11,larga,246,medio,66,mixta
Coyomeapan,17,acopiador,nacional,5,larga,NA,mucho,NA,mixta
Coyomeapan,18,Tlacotepec,municipal,3,larga,89.4,mucho,163,mixta
Coyomeapan,19,Tehuacan,regional,12,larga,72.7,mucho,112,mixta
Coyomeapan,20,Tehuacan,regional,26,larga,72.7,mucho,112,mixta
Coyomeapan,21,Tehuacan,regional,18,larga,72.7,mucho,112,mixta
Coyomeapan,22,Tehuacan,regional,5,larga,72.7,mucho,112,mixta
Coyomeapan,23,acopiador,nacional,7,larga,NA,mucho,NA,mixta
Coyomeapan,24,acopiador,nacional,3,larga,NA,mucho,NA,mixta
Coyomeapan,25,acopiador,nacional,15,larga,NA,mucho,NA,mixta
Coyomeapan,26,Tehuacan,regional,16,larga,72.7,mucho,112,mixta
Coyomeapan,27,Coxcatlan,local,9,media,34.6,medio,60,mixta
Coyomeapan,27,Tehuacan,regional,1,larga,72.7,mucho,112,mixta
Coyomeapan,28,acopiador,nacional,10,larga,NA,mucho,NA,mixta
Coyomeapan,30,acopiador,nacional,3,larga,NA,mucho,NA,mixta
Coyomeapan,32,Coyomeapan,municipal,16,corta,0,poco,0,mixta
Coyomeapan,33,acopiador,nacional,2,larga,NA,mucho,NA,mixta
Coyomeapan,34,acopiador,nacional,12,larga,NA,mucho,NA,mixta
Coyomeapan,35,acopiador,nacional,8,larga,NA,mucho,NA,mixta
Coyomeapan,36,Coxcatlan,local,5,media,34.6,medio,60,mixta
Coyomeapan,37,acopiador,nacional,5,larga,NA,mucho,NA,mixta
Coyomeapan,38,acopiador,nacional,10,larga,NA,mucho,NA,mixta
Coyomeapan,39,acopiador,nacional,4,larga,NA,mucho,NA,mixta
Coyomeapan,40,acopiador,nacional,5,larga,NA,mucho,NA,mixta
Coyomeapan,41,Tehuacan,regional,6,larga,72.7,mucho,112,mixta
Coyomeapan,43,Coyomeapan,municipal,2,corta,0,poco,0,mixta
Coyomeapan,44,Coyomeapan,municipal,10,corta,0,poco,0,mixta
Coyomeapan,45,acopiador,nacional,5,larga,NA,mucho,NA,mixta
Coyomeapan,47,acopiador,nacional,6,larga,NA,mucho,NA,mixta
Matlahuacala,1,Coyomeapan,municipal,3,corta,11,poco,29,mixta
Matlahuacala,2,interna,comunitario,1,NA,0,NA,0,NA
Matlahuacala,3,Ajalpan,micro-regional,5,media,53.3,medio,78,mixta
Matlahuacala,4,Ajalpan,micro-regional,9,media,53.3,medio,78,mixta
